"14","Fujitsu LifeBook SPFC-E544-001 Notebook Intel Core i5 4210M (2.6GHz) 4GB Memory 500GB HDD 8GB SSD Intel HD Graphics 4600 14.0 Windows 7 Professional 64-Bit & Windows 8.1 Pro 64-Bit Recovery media in","http://www.newegg.com/Product/Product.aspx?Item=N82E16834700295","|NOT AVAILABLE|, Unique Modular DLDVD, 500 GB Hybrid hard drive/ 8 GB Cache, 4 GB + empty slot DDR3L 1600MHz, 4th Gen i5-4210M (3MB up to 3.2 GHz), Win 7 Pro 64 bit w/ Win 8.1 Pro 64-bit disc, 14&quot; HD (1366x768)"
"15","Lenovo Flex 2 15D 2-in-1 Notebook AMD A-Series A8-6410 8GB Memory 1TB HDD 15.6 Touchscreen Windows 8.1","http://www.newegg.com/Product/Product.aspx?Item=9SIA24G1XA5662","550.30, DVDRW, Windows 8.1, 1366 x 768, Touchscreen, 8GB Memory 1TB HDD, AMD A-Series A8-6410"
"16","Acer V3-331-P4TE Notebook Intel Pentium 3556U (1.70GHz) 4GB Memory 500GB HDD Intel HD Graphics 13.3 Windows 8.1 64-Bit","http://www.newegg.com/Product/Product.aspx?Item=N82E16834314588","459.00, Windows 8.1 64-Bit, 1366 x 768, Intel HD Graphics, 4GB Memory 500GB HDD, Intel Pentium 3556U (1.70GHz)"
"17","HP 255 G2 (G4V21LP#ABA) Notebook AMD E1-Series E1-2100 (1.00GHz) 2GB Memory 320GB HDD AMD Radeon HD 8210 15.6 Linux","http://www.newegg.com/Product/Product.aspx?Item=N82E16834259392","199.99, DVD Super Multi, Linux, 1366 x 768, AMD Radeon HD 8210, 2GB Memory 320GB HDD, AMD E1-Series E1-2100 (1.00GHz)"
"18","MSI GS60 Ghost-470 Gaming Laptop Intel Core i7 4700HQ (2.40GHz) 12GB Memory 1TB HDD 128 GB M.2SATA SSD NVIDIA GeForce GTX 860M 2GB 15.6 Windows 8.1 64-Bit Multi-language","http://www.newegg.com/Product/Product.aspx?Item=N82E16834152689","1279.00, 2 Years Warranty, 15.35&quot; x 10.47&quot; x 0.78&quot; 4.36 lbs., Windows 8.1 64-Bit, 15.6&quot; 1920 x 1080, 12GB Memory 1TB HDD 128 GB M.2SATA SSD, Intel Core i7 4700HQ (2.40GHz), NVIDIA GeForce GTX 860M 2GB"
"19","MSI CX61 2PC-499US Gaming Laptop Intel Core i5 4200M (2.50GHz) 8GB Memory 750GB HDD NVIDIA GeForce GT 820M 2GB 15.6 Windows 8.1","http://www.newegg.com/Product/Product.aspx?Item=N82E16834152586","|NOT AVAILABLE|, DVD Super Multi, 15.08&quot; x 9.82&quot; x 1.27-1.48&quot; 5.29 lbs., Windows 8.1, 15.6&quot; 1366 x 768, 8GB Memory 750GB HDD, Intel Core i5 4200M (2.50GHz), NVIDIA GeForce GT 820M 2GB"
"20","Lenovo Y50 4K (59425943) Gaming Laptop Intel Core i7 4700HQ (2.40GHz) 16GB Memory 256GB SSD NVIDIA GeForce GTX 860M 2GB 15.6 4K Windows 8.1 64-Bit","http://www.newegg.com/Product/Product.aspx?Item=N82E16834317540","1199.99, External DVD +/-RW, 15.24&quot; x 10.37&quot; x 0.94&quot; 5.29 lbs., Windows 8.1 64-Bit, 15.6&quot; 4K 3840 x 2160, 16GB Memory 256GB SSD, Intel Core i7 4700HQ (2.40GHz), NVIDIA GeForce GTX 860M 2GB"
"21","Acer Aspire V17 Nitro Black Edition VN7-791G-77JJ Notebook Intel Core i7 4710HQ (2.50GHz) 16 GB DDR3L Memory 1TB HDD 256GB SSD NVIDIA GeForce GTX 860M 2GB 17.3 Windows 8.1 64-Bit","http://www.newegg.com/Product/Product.aspx?Item=N82E16834314681","1279.99, DVD-Writer, 16.7&quot; x 11.5&quot; x 1.0&quot; 6.61 lbs., Windows 8.1 64-Bit, 1920 x 1080, NVIDIA GeForce GTX 860M 2GB, 16 GB DDR3L Memory 1TB HDD 256GB SSD, Intel Core i7 4710HQ (2.50GHz)"
"22","ASUS ROG G751 Series G751JT-CH71 Gaming Laptop Intel Core i7 4710HQ (2.50GHz) 16GB Memory 1TB HDD NVIDIA GeForce GTX 970M 3GB 17.3 Windows 8.1 64-Bit","http://www.newegg.com/Product/Product.aspx?Item=N82E16834232202","1499.00, DL DVD±RW/CD-RW, 16.4 x 12.5&quot; x 0.9&quot;-1.7&quot; 8.4 lbs., Windows 8.1 64-Bit, 1920 x 1080, NVIDIA GeForce GTX 970M 3GB, 16GB Memory 1TB HDD, Intel Core i7 4710HQ (2.50GHz), Republic of Gamers"
"23","ASUS ROG GL771JM-DH71 Gaming Laptop Intel Core i7 4710HQ (2.50GHz) 12GB Memory 1TB HDD NVIDIA GeForce GTX 860M 2GB 17.3 Windows 8.1 64-Bit","http://www.newegg.com/Product/Product.aspx?Item=N82E16834232205","999.00, DL DVD±RW/CD-RW, 16.3&quot; x 11.0&quot; x 1.2&quot; - 1.4&quot; 7.5 lbs., Windows 8.1 64-Bit, 17.3&quot; 1920 x 1080, 12GB Memory 1TB HDD, Intel Core i7 4710HQ (2.50GHz), NVIDIA GeForce GTX 860M 2GB"
